,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,reumatologia,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
82,CH0110,Hospital general,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,CH0110,,CH0110,CH0110,Calle del Marquesado de Santa Marta 1 28022 Madrid,Calle,del Marquesado de Santa Marta,1,28022.0,Madrid,446969.0,4477663.0
83,CH0111,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,CH0111,CH0111,CH0111,,,,,,,,CH0111,CH0111,,,,CH0111,Calle Aragón 17 28913 Leganés,Calle,Aragón,17,28913.0,Leganés,434108.0,4464830.0
84,CH0113,Hospital especializado,,,CH0113,CH0113,,,CH0113,CH0113,CH0113,,,CH0113,,,,,CH0113,,CH0113,,CH0113,,Paseo de la Habana 83 28036 Madrid,Paseo,de la Habana,83,28036.0,Madrid,442228.0,4478721.0
85,CH0115,Otros centros con internamiento,,,,,,CH0115,CH0115,,CH0115,,CH0115,,CH0115,,,,CH0115,,CH0115,,,,Avda de Manuel Fraga Iribarne 2 28055 Madrid,Avda,de Manuel Fraga Iribarne,2,28055.0,Madrid,448407.0,4482138.0
86,CH0116,Hospital general,CH0116,CH0116,CH0116,,CH0116,CH0116,CH0116,CH0116,CH0116,CH0116,CH0116,CH0116,,CH0116,CH0116,CH0116,,,CH0116,,CH0116,CH0116,Avda Constitución 249 28850 Torrejón de Ardoz,Avda,Constitución,249,28850.0,Torrejón de Ardoz,459718.0,4478560.0
87,CH0117,Hospital general,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,CH0117,,CH0117,CH0117,,CH0117,CH0117,Avda de José Hierro 94 28521 Rivas-Vaciamadrid,Avda,de José Hierro,94,28521.0,Rivas-Vaciamadrid,455400.0,4466090.0
88,CH0118,Hospital de media y larga estancia,,,,,,CH0118,CH0118,,CH0118,CH0118,CH0118,CH0118,CH0118,,,,CH0118,CH0118,CH0118,,,,Calle de las Cerilleras 7 28054 Madrid,Calle,de las Cerilleras,7,28054.0,Madrid,438237.0,4469300.0
89,CH0119,Hospital general,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,CH0119,,CH0119,CH0119,,CH0119,CH0119,Calle de Cobos de Segovia 4 28005 Madrid,Calle,de Cobos de Segovia,4,28005.0,Madrid,438947.0,4473183.0
90,CS0001,Centro de reproducción humana asistida,,,,CS0001,,,CS0001,,,,,,,,,,,,,,,,Calle de Joaquín María López 44 28015 Madrid,Calle,de Joaquín María López,44,28015.0,Madrid,439447.0,4476593.0
91,CS0011,Centro de reconocimiento,,,,,,,,,,CS0011,,,,,,,,,,,,,Calle de Francisco Silvela 54.0 28028 Madrid,Calle,de Francisco Silvela,54.0,28028.0,Madrid,442816.0,4476257.0
92,CS0018,Centro de interrupción voluntaria del embarazo,,,CS0018,CS0018,,,CS0018,,,CS0018,,,,,,,,CS0018,,,,,Calle de Alonso Saavedra 29 28033 Madrid,Calle,de Alonso Saavedra,29,28033.0,Madrid,,
93,CS0020,Centro de interrupción voluntaria del embarazo,,,,,,,CS0020,,,CS0020,,,,,,,,,,,,,Calle de Toledo 135 28005 Madrid,Calle,de Toledo,135,28005.0,Madrid,439586.0,4472972.0
94,CS0027,Centro de diálisis,,,,,,,CS0027,,,CS0027,,,,,,,,,,,,,Calle del Avefría 35-37 28025 Madrid,Calle,del Avefría,35-37,28025.0,Madrid,437798.0,4470548.0
95,CS0030,Centro de diálisis,,,,,,,CS0030,,,,,,,,,,,,,,,,Calle de Boix y Morer 9 28003 Madrid,Calle,de Boix y Morer,9,28003.0,Madrid,440078.0,4476862.0
96,CS0037,Centro de salud,,,,,,,CS0037,,,CS0037,,,,,,CS0037,,,,,,CS0037,Calle de las Calesas 12 28026 Madrid,Calle,de las Calesas,12,28026.0,Madrid,440110.0,4471276.0
97,CS0038,Otros centros especializados,,,,,,,CS0038,,CS0038,CS0038,,,,,,,,CS0038,CS0038,,,,Calle del Capitán Haya 39 28020 Madrid,Calle,del Capitán Haya,39,28020.0,Madrid,441312.0,4479046.0
98,CS0045,Consulta médica,CS0045,,,,,,,,,,,,,,,,,,,,,,Calle de Castelló 42 28001 Madrid,Calle,de Castelló,42,28001.0,Madrid,442210.0,4475323.0
99,CS0048,Consulta médica,,,,,,,,,,CS0048,,,,,,,,,,,,,Calle del Corregidor Alonso de Tobar 4 28030 Madrid,Calle,del Corregidor Alonso de Tobar,4,28030.0,Madrid,444962.0,4472688.0
100,CS0050,Consulta médica,,,,,,,,,,CS0050,,,,,,,,,,,,,Paseo de las Delicias 83.0 28045 Madrid,Paseo,de las Delicias,83.0,28045.0,Madrid,441086.0,4472005.0
101,CS0059,Centro de diálisis,,,,,,,CS0059,,,,,,,,,,,,,,,,Calle de Fermín Caballero 87 28035 Madrid,Calle,de Fermín Caballero,87,28035.0,Madrid,439057.0,4481183.0
102,CS0060,Centro de diagnóstico,,,,,,,,,,CS0060,,,,,,,,,,,,,Calle de Fernán González 66 28009 Madrid,Calle,de Fernán González,66,28009.0,Madrid,442750.0,4474310.0
103,CS0062,Consulta médica,,,,,,,,,,CS0062,,,,,,,,,,,,,Calle de Francisco Gervas 17 28020 Madrid,Calle,de Francisco Gervas,17,28020.0,Madrid,441082.0,4479145.0
104,CS0069,Centro Polivalente,CS0069,CS0069,CS0069,,CS0069,CS0069,CS0069,,CS0069,CS0069,CS0069,CS0069,,,CS0069,,,CS0069,,,,,Custa del Sagrado Corazón 4 28016 Madrid,Custa,del Sagrado Corazón,4,28016.0,Madrid,443138.0,4479703.0
105,CS0075,Otros centros especializados,,,,,,,,,,,,,,,,,CS0075,CS0075,,,,,Paseo de la Habana 206 28016 Madrid,Paseo,de la Habana,206,28016.0,Madrid,442403.0,4479603.0
106,CS0090,Centro Polivalente,,,,,,,CS0090,,CS0090,CS0090,,,,,,,,,,,,,Calle de Jesús del Pino 32 28031 Madrid,Calle,de Jesús del Pino,32,28031.0,Madrid,447019.0,4470331.0
107,CS0096,Consulta de otros profesionales sanitarios,,,,,,,CS0096,,,,,,,,,,,,,,,,Calle de Juan Ramón Jiménez 2 28036 Madrid,Calle,de Juan Ramón Jiménez,2,28036.0,Madrid,441772.0,4478680.0
108,CS0112,Centro de salud,,,,,,,CS0112,,,CS0112,,,,,,CS0112,,,,,,CS0112,Avda Orovilla 53 28041 Madrid,Avda,Orovilla,53,28041.0,Madrid,441481.0,4467789.0
109,CS0114,Centro Polivalente,,CS0114,,,,CS0114,CS0114,,CS0114,CS0114,,CS0114,,,CS0114,,,,,,,,Calle del Príncipe de Vergara 134 28002 Madrid,Calle,del Príncipe de Vergara,134,28002.0,Madrid,442487.0,4477219.0
110,CS0129,Consulta médica,,,,,,,,,,,,,,,CS0129,,,,,,,,Calle de Serrano 63 28006 Madrid,Calle,de Serrano,63,28006.0,Madrid,441731.0,4475993.0
111,CS0132,Consulta médica,,,,,,,,,,CS0132,,,,,,,,,,,,,Calle de Teresita González Quevedo 4 28020 Madrid,Calle,de Teresita González Quevedo,4,28020.0,Madrid,440934.0,4478565.0
112,CS0137,Centro Polivalente,,,,,,,CS0137,,CS0137,CS0137,,,,,,,,,,,,,Calle Vía Carpetana 147 28025 Madrid,Calle,Vía Carpetana,147,28025.0,Madrid,437036.0,4471531.0
113,CS0151,Otros centros especializados,,,,,,,CS0151,,CS0151,CS0151,,,,,,,,,,,,,Calle de Jaén C/V AVDA.DE MADRID 28100 Alcobendas,Calle,de Jaén,C/V AVDA.DE MADRID,28100.0,Alcobendas,445879.0,4489118.0
114,CS0153,Centro Polivalente,CS0153,,,,CS0153,CS0153,,,,CS0153,,,,,,,,,,,,,Calle de Fuenlabrada 4 28922 Alcorcón,Calle,de Fuenlabrada,4,28922.0,Alcorcón,429741.0,4466485.0
115,CS0155,Centro de reconocimiento,,,,,,,,,,CS0155,,,,,,,,,,,,,Calle de la Constitución 87 28100 Alcobendas,Calle,de la Constitución,87,28100.0,Alcobendas,445722.0,4488379.0
116,CS0162,Centro Polivalente,CS0162,CS0162,,,CS0162,CS0162,CS0162,,CS0162,CS0162,,,,,CS0162,CS0162,,,,,,CS0162,Calle del Nogal 2 28110 Algete,Calle,del Nogal,2,28110.0,Algete,455840.0,4493843.0
117,CS0166,Centro Polivalente,,,,,,,CS0166,,CS0166,CS0166,,,,,,,,CS0166,,,,,Calle Real 35 28400 Collado Villalba,Calle,Real,35,28400.0,Collado Villalba,414856.0,4498168.0
118,CS0173,Centro de salud,,,,,,,CS0173,,,CS0173,,,,,,CS0173,,,,,,CS0173,Calle Huelva S/N 28903 Getafe,Calle,Huelva,S/N,28903.0,Getafe,,
119,CS0174,Centro de salud,,,,,,,CS0174,,,CS0174,,,,,,CS0174,,,,,,CS0174,Avda DE JUAN DE LA CIERVA S/N 28902 Getafe,Avda,DE JUAN DE LA CIERVA,S/N,28902.0,Getafe,438379.0,4461920.0
120,CS0175,Centro de salud,,,,CS0175,,,CS0175,,,CS0175,,,,,,CS0175,,,,,,CS0175,Avda del Parque S/N 28905 Getafe,Avda,del Parque,S/N,28905.0,Getafe,437243.0,4464187.0
121,CS0177,Centro de salud,,,,,,,CS0177,,CS0177,CS0177,,,,,,CS0177,,,,,,CS0177,"Calle Principado de Asturias 30 28230 Rozas de Madrid, Las",Calle,Principado de Asturias,30,28230.0,"Rozas de Madrid, Las",425577.0,4482472.0
122,CS0183,Centro de reconocimiento,,,,,,,,,,CS0183,,,,,,,,,,,,,Avda de la Concordia 6 28840 Mejorada del Campo,Avda,de la Concordia,6,28840.0,Mejorada del Campo,458944.0,4471959.0
123,CS0216,Centro de salud,,,,CS0216,,,CS0216,,,CS0216,,,,,,CS0216,,,,,,CS0216,Calle Cuenca S/N 28982 Parla,Calle,Cuenca,S/N,28982.0,Parla,434889.0,4454871.0
124,CS0217,Consulta médica,,,,,,,,,,CS0217,,,,,,,,,,,,,Calle Juan de Austria 6 28982 Parla,Calle,Juan de Austria,6,28982.0,Parla,434480.0,4454180.0
125,CS0218,Centro de salud,,,,,,,CS0218,,,CS0218,,,,,,CS0218,,,,,,CS0218,Calle San Blas 24 28981 Parla,Calle,San Blas,24,28981.0,Parla,434146.0,4454811.0
126,CS0219,Centro de salud,,,,,,,CS0219,,CS0219,CS0219,,,,,,CS0219,,,,,CS0219,CS0219,Avda de la Paz 5 28540 Perales de Tajuña,Avda,de la Paz,5,28540.0,Perales de Tajuña,470100.0,4453493.0
127,CS0229,Centro Polivalente,CS0229,CS0229,,,CS0229,CS0229,CS0229,,CS0229,CS0229,,CS0229,,,CS0229,CS0229,CS0229,CS0229,CS0229,,,,Avda de España 46-48 28700 San Sebastián de los Reyes,Avda,de España,46-48,28700.0,San Sebastián de los Reyes,446357.0,4488533.0
128,CS0232,Centro de reconocimiento,,,,,,,,,,CS0232,,,,,,,,,,,,,Avda Constitución 34 28850 Torrejón de Ardoz,Avda,Constitución,34,28850.0,Torrejón de Ardoz,459398.0,4478454.0
129,CS0237,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,,CS0237,,,,,,,Sect Literatos 21 28760 Tres Cantos,Sect,Literatos,21,28760.0,Tres Cantos,439533.0,4495274.0
130,CS0245,Centro Polivalente,,,,,,CS0245,,,,CS0245,,,,,,,,,,,,,Calle de Alberto Aguilera 27 28015 Madrid,Calle,de Alberto Aguilera,27,28015.0,Madrid,439529.0,4475739.0
131,CS0264,Otros centros especializados,,,,,,,CS0264,,,CS0264,,,,,,,,,,,,,Calle del Arroyo Belincoso 34 28030 Madrid,Calle,del Arroyo Belincoso,34,28030.0,Madrid,444686.0,4473447.0
132,CS0265,Centro de salud,,,,,,,CS0265,,,CS0265,,,,,,CS0265,,,,,,CS0265,Paseo de los Artilleros 31 28032 Madrid,Paseo,de los Artilleros,31,28032.0,Madrid,448347.0,4472958.0
133,CS0276,Centro Polivalente,,,,,,CS0276,,,CS0276,CS0276,,,,CS0276,CS0276,CS0276,,,CS0276,,,,Avda de Betanzos 60 Semisótano 28034 Madrid,Avda,de Betanzos,60 Semisótano,28034.0,Madrid,439593.0,4481388.0
134,CS0287,Centro de salud,,,,CS0287,,,CS0287,,,CS0287,,,,,,CS0287,,,,,,CS0287,Calle del Cabo Machichaco 62 28053 Madrid,Calle,del Cabo Machichaco,62,28053.0,Madrid,443817.0,4469194.0
135,CS0292,Centro de salud,,,,,,,CS0292,,,CS0292,,,,,,CS0292,,,,,,CS0292,Calle del Camino de los Vinateros 140 28030 Madrid,Calle,del Camino de los Vinateros,140,28030.0,Madrid,445218.0,4473045.0
136,CS0293,Centro de salud,,,,CS0293,,,CS0293,,CS0293,CS0293,,,,,,CS0293,,,,,,CS0293,Calle de Pedroches 4 28053 Madrid,Calle,de Pedroches,4,28053.0,Madrid,443136.0,4470060.0
137,CS0313,Consulta médica,,CS0313,,,,,CS0313,,,,,,,,,,,,,,,,Avda de Concha Espina 18 28016 Madrid,Avda,de Concha Espina,18,28016.0,Madrid,441904.0,4478106.0
138,CS0323,Centro de diagnóstico,,,,,,,,,,CS0323,,,,,,,,,,,,,Calle del Españoleto 22 28010 Madrid,Calle,del Españoleto,22,28010.0,Madrid,441110.0,4475844.0
139,CS0330,Centro de salud,,,,,,,CS0330,,CS0330,CS0330,,,,,,CS0330,CS0330,,,,,CS0330,Calle de Espronceda 24 28003 Madrid,Calle,de Espronceda,24,28003.0,Madrid,440914.0,4476884.0
140,CS0333,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS0333,,,,,,,,,,,,,,Calle de Fernández de la Hoz 51 28003 Madrid,Calle,de Fernández de la Hoz,51,28003.0,Madrid,441086.0,4476671.0
141,CS0339,Centro de salud,,,,CS0339,,,CS0339,,CS0339,CS0339,,,,,,CS0339,CS0339,,,,,CS0339,Calle de Finisterre 18 28029 Madrid,Calle,de Finisterre,18,28029.0,Madrid,440517.0,4481038.0
142,CS0348,Consulta médica,,,,,,,CS0348,,,,,,,CS0348,,,,,,,,,Calle de Gabriela Mistral 1 28035 Madrid,Calle,de Gabriela Mistral,1,28035.0,Madrid,437656.0,4481805.0
143,CS0350,Centro de salud,,,,CS0350,,,CS0350,,CS0350,CS0350,,,,,,CS0350,CS0350,,,,,CS0350,Calle de Fuentidueña 12 28031 Madrid,Calle,de Fuentidueña,12,28031.0,Madrid,447180.0,4469208.0
144,CS0358,Centro Polivalente,CS0358,,,,,,CS0358,,,CS0358,,,,,,,,,,,,,Calle del General Pardiñas 116 28006 Madrid,Calle,del General Pardiñas,116,28006.0,Madrid,442537.0,4476438.0
145,CS0368,Centro Polivalente,,CS0368,,,CS0368,,,,,CS0368,,,,,CS0368,,,,,,,,Paseo de la Habana 170 28036 Madrid,Paseo,de la Habana,170,28036.0,Madrid,442243.0,4478971.0
146,CS0372,Otros proveedores de asistencia sanitaria sin internamiento,,,,CS0372,,,CS0372,,CS0372,,,,,,,,,,,,,,Calle de Hermosilla 84 28001 Madrid,Calle,de Hermosilla,84,28001.0,Madrid,442617.0,4475245.0
147,CS0377,Centro de salud,,,,,,,CS0377,,CS0377,CS0377,,,,,,CS0377,,,,,,CS0377,Calle de Ibiza 7 28009 Madrid,Calle,de Ibiza,7,28009.0,Madrid,442480.0,4474430.0
148,CS0380,Centro Polivalente,,,,,CS0380,CS0380,,,,CS0380,,,,,,,,CS0380,,,,,Calle de Ibiza 66 28009 Madrid,Calle,de Ibiza,66,28009.0,Madrid,443113.0,4474350.0
149,CS0393,Centro Polivalente,,,,,,,,,CS0393,,,,,,,,,CS0393,CS0393,,,,Calle de José Abascal 42 28010 Madrid,Calle,de José Abascal,42,28010.0,Madrid,441077.0,4476611.0
150,CS0399,Centro de salud,,,,,,,CS0399,,CS0399,CS0399,,,,,,CS0399,,,,,,CS0399,Calle de José de Cadalso 51 28044 Madrid,Calle,de José de Cadalso,51,28044.0,Madrid,434772.0,4469978.0
151,CS0403,Centro de salud,,,,CS0403,,,CS0403,,,CS0403,,,,,,CS0403,,,,,,CS0403,Calle de San Claudio 154 28038 Madrid,Calle,de San Claudio,154,28038.0,Madrid,445758.0,4471107.0
152,CS0407,Consulta médica,,,,,,,,,,CS0407,,,,,,,,,,,,,Calle de López de Aranda 24 28027 Madrid,Calle,de López de Aranda,24,28027.0,Madrid,445933.0,4477097.0
153,CS0422,Consulta médica,,,,,,,,,,CS0422,,,,,,,,,,,,,Calle del Marqués del Riscal 9 28010 Madrid,Calle,del Marqués del Riscal,9,28010.0,Madrid,441392.0,4475791.0
154,CS0428,Centro Polivalente,,,,,,,,,,CS0428,,,,,,,CS0428,,,,,,Calle del Mercurio 9 28032 Madrid,Calle,del Mercurio,9,28032.0,Madrid,448492.0,4472939.0
155,CS0429,Centro Polivalente,,,,,,,,,,CS0429,,,,,,,,,,,,,Calle de Mérida 8 28030 Madrid,Calle,de Mérida,8,28030.0,Madrid,445961.0,4473147.0
156,CS0447,Otros centros especializados,,,,CS0447,,,CS0447,,CS0447,CS0447,,,,,,,,,CS0447,,,,Avda de Pablo Iglesias 20 28003 Madrid,Avda,de Pablo Iglesias,20,28003.0,Madrid,440052.0,4477483.0
157,CS0456,Otros centros especializados,,,,,,,,,,CS0456,,,,,,,,,,,,,Calle del Príncipe de Vergara 55 28006 Madrid,Calle,del Príncipe de Vergara,55,28006.0,Madrid,442345.0,4476028.0
158,CS0457,Centro de salud,,,,CS0457,,,CS0457,,CS0457,CS0457,,,,,,CS0457,,,,,,CS0457,Calle de Pío Felipe 26 28038 Madrid,Calle,de Pío Felipe,26,28038.0,Madrid,444529.0,4471702.0
159,CS0459,Centro de salud,,,,CS0459,,,CS0459,,,CS0459,,,,,,CS0459,,,,,,CS0459,Calle de los Reyes Magos 19-21 28007 Madrid,Calle,de los Reyes Magos,19-21,28007.0,Madrid,442563.0,4473275.0
160,CS0468,Centro Polivalente,CS0468,CS0468,,,,,CS0468,,,CS0468,,,,,,,,,,,,,Calle de Ramón Power 40 28043 Madrid,Calle,de Ramón Power,40,28043.0,Madrid,446669.0,4479386.0
161,CS0469,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,CS0469,,,,,,Calle de Ríos Rosas 54 28003 Madrid,Calle,de Ríos Rosas,54,28003.0,Madrid,441008.0,4476999.0
162,CS0470,Consulta médica,,,,,,,,,,CS0470,,,,,,,,,,,,,Paseo de San Francisco de Sales 4 28003 Madrid,Paseo,de San Francisco de Sales,4,28003.0,Madrid,439233.0,4476807.0
163,CS0474,Consulta médica,,,,,,,,,,CS0474,,,,,,,,,,,,,Calle de Santa Engracia 141 28003 Madrid,Calle,de Santa Engracia,141,28003.0,Madrid,440413.0,4477212.0
164,CS0487,Centro Polivalente,,,,,,,CS0487,,CS0487,CS0487,,,,,,,,,,,,,Calle de Ulises 31-35 28043 Madrid,Calle,de Ulises,31-35,28043.0,Madrid,444655.0,4478773.0
165,CS0489,Consulta médica,,,,,,,,,,CS0489,,,,,,,,,,,,,Plaza de Valparaíso 8 28016 Madrid,Plaza,de Valparaíso,8,28016.0,Madrid,442278.0,4478456.0
166,CS0498,Consulta médica,,,,,,,,,,,,,,,CS0498,,,,,,,,Calle de la Virgen del Sagrario 4 28027 Madrid,Calle,de la Virgen del Sagrario,4,28027.0,Madrid,445100.0,4476114.0
167,CS0501,Centro de salud,,,,,,,CS0501,,CS0501,CS0501,,,,,,CS0501,,,,,,,Calle de Visitación 5 28026 Madrid,Calle,de Visitación,5,28026.0,Madrid,440440.0,4470393.0
168,CS0507,Centro de salud,,,,,,,CS0507,,,CS0507,,,,,,CS0507,,,,,,CS0507,Calle de Valdeamor S/N 28110 Algete,Calle,de Valdeamor,S/N,28110.0,Algete,457457.0,4494225.0
169,CS0510,Consultorio de atención primaria,,,,,,,CS0510,,,CS0510,,,,,,,,,,,,,Calle Madrid 19 28720 Bustarviejo,Calle,Madrid,19,28720.0,Bustarviejo,440347.0,4523173.0
170,CS0512,Centro de salud,,,,,,,CS0512,,CS0512,CS0512,,,,,,CS0512,,,,,,CS0512,Calle Alegas 2 28380 Colmenar de Oreja,Calle,Alegas,2,28380.0,Colmenar de Oreja,466606.0,4440532.0
171,CS0526,Centro de salud,,,,,,,CS0526,,,CS0526,,,,,,CS0526,,,,,,CS0526,Avda de Juan Carlos I 1 28905 Getafe,Avda,de Juan Carlos I,1,28905.0,Getafe,436380.0,4460965.0
172,CS0528,Centro de salud,,,,CS0528,,,CS0528,,,CS0528,,,,,,CS0528,CS0528,,,,,CS0528,Avda de los Reyes Católicos 37 28904 Getafe,Avda,de los Reyes Católicos,37,28904.0,Getafe,437397.0,4461140.0
173,CS0530,Centro de salud,,,,,,,CS0530,,,CS0530,,,,,,CS0530,,,,,,CS0530,Calle Reyes Católicos 2 28440 Guadarrama,Calle,Reyes Católicos,2,28440.0,Guadarrama,408003.0,4502965.0
174,CS0531,Centro de salud,,,,,,,CS0531,,CS0531,CS0531,,,,,,CS0531,,,,,,CS0531,"Plaza de la Concordia 2 28751 Cabrera, La",Plaza,de la Concordia,2,28751.0,"Cabrera, La",448213.0,4523910.0
175,CS0535,Centro de reconocimiento,,,,,,,,,,CS0535,,,,,,,,,,,,,Calle Iglesia 9 28220 Majadahonda,Calle,Iglesia,9,28220.0,Majadahonda,425950.0,4480693.0
176,CS0538,Centro de salud,,,,,,,CS0538,,,CS0538,,,,,,CS0538,,,,,,CS0538,Calle de la Cañada de los Toros 8 28410 Manzanares el Real,Calle,de la Cañada de los Toros,8,28410.0,Manzanares el Real,427271.0,4509127.0
177,CS0542,Centro Polivalente,CS0542,CS0542,,,CS0542,CS0542,CS0542,,CS0542,CS0542,CS0542,CS0542,,,CS0542,CS0542,,CS0542,CS0542,,,,Calle del Río Sella 10 28935 Móstoles,Calle,del Río Sella,10,28935.0,Móstoles,425733.0,4463202.0
178,CS0545,Centro de salud,,,,,,,CS0545,,CS0545,CS0545,,,,,,CS0545,,,,,CS0545,CS0545,Calle de la Doctora 10 28600 Navalcarnero,Calle,de la Doctora,10,28600.0,Navalcarnero,413771.0,4460462.0
179,CS0546,Centro de reconocimiento,,,,,,,,,,CS0546,,,,,,,,,,,,,Calle Jaime I El Conquistador 41 28980 Parla,Calle,Jaime I El Conquistador,41,28980.0,Parla,434885.0,4454114.0
180,CS0547,Centro de salud,,,,CS0547,,,CS0547,,CS0547,CS0547,,,,,,CS0547,,,,,,CS0547,Calle del Marqués S/N 28320 Pinto,Calle,del Marqués,S/N,28320.0,Pinto,440666.0,4454856.0
181,CS0550,Centro Polivalente,,,,CS0550,,,CS0550,,CS0550,CS0550,,,,,,,,,,,,,Calle de Albino Pérez Ayestarain 62 28830 San Fernando de Henares,Calle,de Albino Pérez Ayestarain,62,28830.0,San Fernando de Henares,454411.0,4475481.0
182,CS0552,Centro de salud,,,,CS0552,,,CS0552,,,CS0552,,,,,,CS0552,,,,,,CS0552,Calle PARQUE DE ASTURIAS S/N 28523 Rivas-Vaciamadrid,Calle,PARQUE DE ASTURIAS,S/N,28523.0,Rivas-Vaciamadrid,453363.0,4468343.0
183,CS0554,Centro de salud,,,,,,,CS0554,,CS0554,CS0554,,,,,,CS0554,,,,,,CS0554,Calle Bola 1 28680 San Martín de Valdeiglesias,Calle,Bola,1,28680.0,San Martín de Valdeiglesias,381051.0,4469158.0
184,CS0558,Centro de salud,,,,CS0558,,,CS0558,,,CS0558,,,,,,CS0558,,,,,,CS0558,Calle Malacuera 26 28180 Torrelaguna,Calle,Malacuera,26,28180.0,Torrelaguna,454574.0,4519431.0
185,CS0565,Consultorio de atención primaria,,,,,,,CS0565,,,CS0565,,,,,,CS0565,,,,,,CS0565,Calle de los Huertos 17 28360 Villaconejos,Calle,de los Huertos,17,28360.0,Villaconejos,458655.0,4439493.0
186,CS0567,Centro de salud,,,,,,,CS0567,,,CS0567,,,,,,CS0567,,,,,CS0567,CS0567,Calle del Hospital 7 28590 Villarejo de Salvanés,Calle,del Hospital,7,28590.0,Villarejo de Salvanés,476446.0,4446486.0
187,CS0571,Centro de salud,,,,,,,CS0571,,CS0571,CS0571,,,,,,CS0571,,,,,,CS0571,Paseo de la Estación S/N 28630 Villa del Prado,Paseo,de la Estación,S/N,28630.0,Villa del Prado,389460.0,4459039.0
188,CS0581,Centro de salud,,,,,,,CS0581,,,CS0581,,,,,,CS0581,,,,,,,Calle de Benita Ávila 26 28043 Madrid,Calle,de Benita Ávila,26,28043.0,Madrid,444866.0,4479585.0
189,CS0582,Consulta médica,CS0582,,,,,,,,,,,,,,,,,,,,,,Plaza de Castilla 3 28046 Madrid,Plaza,de Castilla,3,28046.0,Madrid,441467.0,4479717.0
190,CS0584,Centro Polivalente,CS0584,CS0584,,,CS0584,CS0584,CS0584,,CS0584,CS0584,CS0584,CS0584,,,CS0584,CS0584,,CS0584,CS0584,,,CS0584,Calle del Conde Duque 21 28015 Madrid,Calle,del Conde Duque,21,28015.0,Madrid,439840.0,4475665.0
191,CS0586,Centro de salud,,,,,,,CS0586,,,CS0586,,,,,,CS0586,,,,,,CS0586,Calle del Doctor Cirajas 20 28017 Madrid,Calle,del Doctor Cirajas,20,28017.0,Madrid,445970.0,4476279.0
192,CS0594,Consulta médica,,,,,CS0594,,,,,,,,,,,,,,,,,,Calle del General Álvarez de Castro 19 28010 Madrid,Calle,del General Álvarez de Castro,19,28010.0,Madrid,440416.0,4476350.0
193,CS0595,Centro Polivalente,CS0595,CS0595,CS0595,CS0595,CS0595,CS0595,CS0595,CS0595,,CS0595,CS0595,CS0595,,CS0595,CS0595,CS0595,CS0595,CS0595,,,,CS0595,Calle del General López Pozas 10 28036 Madrid,Calle,del General López Pozas,10,28036.0,Madrid,441910.0,4479547.0
194,CS0597,Centro de salud,,,,,,,CS0597,,CS0597,CS0597,,,,,,CS0597,,,,,,,Calle de la Guayaba S/N 28044 Madrid,Calle,de la Guayaba,S/N,28044.0,Madrid,436532.0,4469371.0
195,CS0611,Centro de salud,,,,CS0611,,,CS0611,,,CS0611,,,,,,CS0611,,,,,,CS0611,Avda de la Reina Victoria 21 28003 Madrid,Avda,de la Reina Victoria,21,28003.0,Madrid,440001.0,4477594.0
196,CS0616,Centro Polivalente,CS0616,CS0616,,,CS0616,CS0616,CS0616,,CS0616,CS0616,,,,,CS0616,CS0616,,,,,,,Paseo de Alcobendas 10 28109 Alcobendas,Paseo,de Alcobendas,10,28109.0,Alcobendas,447332.0,4486521.0
197,CS0621,Otros centros especializados,,,,,,,CS0621,,,CS0621,,,,,,,,,,,,,"Ctra de Meco KM.4,5 28806 Alcalá de Henares",Ctra,de Meco,"KM.4,5",28806.0,Alcalá de Henares,470984.0,4486178.0
198,CS0624,Centro Polivalente,,,,,CS0624,,,,CS0624,CS0624,,,,,,,,,,,,,Paseo de la Castellana 119 28046 Madrid,Paseo,de la Castellana,119,28046.0,Madrid,441435.0,4478746.0
199,CS0632,Consulta médica,,,,,,,,,,CS0632,,,,,,,,,,,,,Avda de Moratalaz 92 28030 Madrid,Avda,de Moratalaz,92,28030.0,Madrid,444959.0,4473077.0
